DateTime,vuser,Tests,Errors,Mean_Test_Time_(ms),Test_Time_Standard_Deviation_(ms),TPS,Mean_response_length,Response_bytes_per_second,Response_errors,Mean_time_to_resolve_host,Mean_time_to_establish_connection,Mean_time_to_first_byte
2025-10-23 15:17:14,3,3,0,1318,37.211,1.5,118,177,0,0,43.333,166.333
2025-10-23 15:17:16,3,6,0,1021.833,31.535,3,118,354,0,0,1.833,14
2025-10-23 15:17:18,3,6,0,1044.5,40.705,3,118,354,0,0,1.833,11
2025-10-23 15:17:20,3,6,0,1121.833,74.763,3,118,354,0,0,2.333,10.167
2025-10-23 15:17:22,3,6,0,987.5,45.69,3,118,354,0,0,1.833,9.833
2025-10-23 15:17:24,3,6,0,1076.5,70.488,3,118,354,0,0,1.833,9.167
2025-10-23 15:17:26,3,6,0,1033,102.817,3,118,354,0,0,1.333,6.333
2025-10-23 15:17:28,3,6,0,1008.667,64.427,3,118,354,0,0,2.333,9.833
2025-10-23 15:17:30,3,5,0,1036.2,63.016,2.5,118,295,0,0,2,9.6
2025-10-23 15:17:32,3,6,0,1006,32.593,3,118,354,0,0,2,11.333
2025-10-23 15:17:34,6,7,0,1000.286,62.669,3.5,118,413,0,0,2,9.143
2025-10-23 15:17:36,6,13,0,998.692,52.222,6.5,118,767,0,0,1.769,8.231
2025-10-23 15:17:38,6,11,0,985.091,71.386,5.5,118,649,0,0,1.364,7.182
2025-10-23 15:17:40,6,12,0,1036.917,64.648,6,118,708,0,0,1.333,7.5
2025-10-23 15:17:42,6,13,0,956.154,60.911,6.5,118,767,0,0,1.692,8.615
2025-10-23 15:17:44,6,10,0,1051.9,51.358,5,118,590,0,0,2.1,8.4
2025-10-23 15:17:46,6,13,0,988.077,48.691,6.5,118,767,0,0,2.077,9.385
2025-10-23 15:17:48,6,6,0,1006.167,28.34,3,118,354,0,0,1.667,13.833
2025-10-23 15:17:50,6,13,0,987.308,64.907,6.5,118,767,0,0,1.846,9.077
2025-10-23 15:17:52,6,13,0,1000.308,55.38,6.5,117.769,765.5,0,0,1.769,9.923
2025-10-23 15:17:54,6,11,0,992.364,107.104,5.5,118,649,0,0,1.727,8.364
2025-10-23 15:17:56,9,17,0,1010.353,69.393,8.5,118,1003,0,0,1.588,8.353
2025-10-23 15:17:58,9,17,0,996.588,49.604,8.5,118,1003,0,0,1.353,7.882
