DateTime,vuser,Tests,Errors,Mean_Test_Time_(ms),Test_Time_Standard_Deviation_(ms),TPS,Mean_response_length,Response_bytes_per_second,Response_errors,Mean_time_to_resolve_host,Mean_time_to_establish_connection,Mean_time_to_first_byte
2025-10-23 08:49:18,3,6,0,1058.333,53.717,3,228,684,0,0,9.667,31.333
2025-10-23 08:49:20,3,7,0,1018.286,86.363,3.5,228,798,0,0,1.857,30.571
2025-10-23 08:49:22,3,5,0,1084.6,57.974,2.5,228,570,0,0,1.6,23.6
2025-10-23 08:49:24,3,6,0,1052.667,54.215,3,228,684,0,0,2,19
2025-10-23 08:49:26,3,6,0,1087.833,55.14,3,228,684,0,0,1.333,21.167
2025-10-23 08:49:28,3,6,0,1069.333,57.561,3,228,684,0,0,1.167,17.333
2025-10-23 08:49:30,3,3,0,1052,72.24,1.5,228,342,0,0,1.667,19.333
2025-10-23 08:49:32,3,5,0,1054.8,66.086,2.5,228,570,0,0,1.6,17.8
2025-10-23 08:49:34,3,7,0,1013.286,36.291,3.5,228,798,0,0,2.286,22.143
2025-10-23 08:49:36,3,5,0,1004,25.227,2.5,228,570,0,0,1.4,20.2
2025-10-23 08:49:38,6,9,0,995.889,45.698,4.5,228,1026,0,0,2,19
2025-10-23 08:49:40,6,12,0,1015.25,50.922,6,228,1368,0,0,1.667,18.417
2025-10-23 08:49:42,6,11,0,1015.727,56.572,5.5,228,1254,0,0,1.455,17.818
2025-10-23 08:49:44,6,14,0,998.571,52.076,7,228,1596,0,0,1.5,16.429
2025-10-23 08:49:46,6,12,0,1000.833,62.304,6,228,1368,0,0,1.583,15.417
2025-10-23 08:49:48,6,12,0,1027.167,73.012,6,228,1368,0,0,1.75,21.333
2025-10-23 08:49:50,6,11,0,1047.455,32.503,5.5,228,1254,0,0,1.091,12.455
2025-10-23 08:49:52,6,13,0,1040.308,73.912,6.5,228,1482,0,0,1.462,16.385
2025-10-23 08:49:54,6,12,0,991.917,53.335,6,228,1368,0,0,1.417,11
2025-10-23 08:49:56,6,12,0,1028.917,58.407,6,228,1368,0,0,1.167,11.917
2025-10-23 08:49:58,9,15,0,1009.467,66.108,7.5,228,1710,0,0,1.267,12.067
2025-10-23 08:50:00,9,18,0,1009,77.178,9,228,2052,0,0,1.167,11.111
2025-10-23 08:50:02,9,18,0,1004.167,60.771,9,228,2052,0,0,1.222,9.389
2025-10-23 08:50:04,9,9,0,995.111,60.2,4.5,228,1026,0,0,1.444,10.333
2025-10-23 08:50:06,9,18,0,1041.611,68.372,9,228,2052,0,0,1,11.167
2025-10-23 08:50:08,9,18,0,1030.611,70.299,9,228,2052,0,0,1.167,12.333
2025-10-23 08:50:10,9,18,0,1030.889,79.132,9,228,2052,0,0,1.222,9.333
2025-10-23 08:50:12,9,18,0,1017.778,65.311,9,228,2052,0,0,1,10.056
2025-10-23 08:50:14,9,18,0,1031.833,50.084,9,228,2052,0,0,1.222,9.389
